"Competencia o unidades de competencias","Actividades","Recursos","Duración de la actividad","Responsable","Observaciones","Estado de avance","Ajustes"
"Gestión de Proyectos","Definición de Alcance y Objetivos (Project Charter)","Jira/Confluence","1 semana","se.carvallo","Documentación inicial","Completado","Ninguno"
"Gestión de Proyectos","Creación de Product Backlog en Jira","Jira Software","1 semana","se.carvallo","Definición de Epics y Stories","Completado","Ninguno"
"Gestión de Proyectos","Configuración de Repositorio y Normas de GitFlow","GitHub","3 días","se.carvallo","Branching strategy definida","Completado","Ninguno"
"Gestión de Proyectos","Validación de Requerimientos Técnicos y de Negocio","Documentación/Reuniones","1 semana","se.carvallo","Validación académica","Completado","Ninguno"
"Arquitectura de Software","Diseño de Arquitectura Lógica (3-Tier)","Lucidchart/Mermaid","1 semana","se.carvallo","Definición de capas","Completado","Ninguno"
"Arquitectura de Software","Selección de Stack Tecnológico","Documentación","3 días","se.carvallo","Elección: MEAN/P (Postgres)","Completado","Ninguno"
"Arquitectura de Software","Diseño de Modelo de Datos Conceptual","Lucidchart","1 semana","se.carvallo","Entidades principales","Completado","Ninguno"
"Desarrollo Frontend","Configuración Inicial del Proyecto Ionic/Angular","VSCode/NPM","3 días","se.carvallo","Setup inicial","Completado","Ninguno"
"Desarrollo Frontend","Implementación de Sistema de Diseño (Colors/Typography)","SCSS/Ionic","1 semana","se.carvallo","Definición de variables CSS","Completado","Ajuste a Dark Mode Support"
"Desarrollo Frontend","Creación de Layout Principal y Navegación","Angular Router","1 semana","se.carvallo","Sidebar y Tabs","Completado","Ninguno"
"Desarrollo Frontend","Implementación de Pantalla de Login","Angular Forms/HTML","1 semana","se.carvallo","Validaciones visuales","Completado","Ninguno"
"Desarrollo Frontend","Implementación de Pantalla de Registro","Angular Forms","1 semana","se.carvallo","Registro de pacientes","Completado","Ninguno"
"Desarrollo Frontend","Desarrollo de Servicio de Autenticación (Frontend)","RxJS/HttpClient","1 semana","se.carvallo","Manejo de Tokens","Completado","Refactor a CoreAuthStore"
"Desarrollo Frontend","Implementación de Guards y Protección de Rutas","Angular Guards","4 días","se.carvallo","AuthGuard y RoleGuard","Completado","Actualización para RBAC"
"Desarrollo Frontend","Diseño de Dashboard de Usuario","Ionic Components","1 semana","se.carvallo","Vista resumen","Completado","Ninguno"
"Desarrollo Frontend","Desarrollo de Perfil de Usuario (Edición)","Angular Forms","1 semana","se.carvallo","Carga de datos","Completado","Ninguno"
"Desarrollo Frontend","Integración de Interceptor JWT","HttpInterceptor","3 días","se.carvallo","Headers automáticos","Completado","Ninguno"
"Desarrollo Frontend","Implementación de Logout y Limpieza de Sesión","AuthService","2 días","se.carvallo","Limpieza de LocalStorage","Completado","Feature LogoutButtonComponent"
"Desarrollo Backend","Configuración de Servidor Express/Node.js","Node.js/TypeScript","3 días","se.carvallo","Setup base","Completado","Ninguno"
"Desarrollo Backend","Configuración de Conexión a Base de Datos (Pool)","pg-promise/TypeORM","3 días","se.carvallo","Database Factory","Completado","Ninguno"
"Desarrollo Backend","Desarrollo de Auth Controller (Login/Register)","Express Controllers","1 semana","se.carvallo","Lógica de negocio","Completado","Separación Clean Architecture"
"Desarrollo Backend","Implementación de Generación de JWT","JsonWebToken Lib","3 días","se.carvallo","Firma de tokens","Completado","Añadido Refesh Token support"
